service_date,route_short,gated_entries
2020-01-01,Blue,17494.8
2020-01-01,Green,26127.93
2020-01-01,Orange,39008.81
2020-01-01,Red,46283.16
2020-01-02,Blue,42189.0
2020-01-02,Green,61598.43
2020-01-02,Orange,128002.4
2020-01-02,Red,156440.67
2020-01-03,Blue,44456.1
2020-01-03,Green,63933.75
2020-01-03,Orange,129027.76
2020-01-03,Red,155637.39
2020-01-04,Blue,24887.3
2020-01-04,Green,39314.49
2020-01-04,Orange,62248.65
2020-01-04,Red,67233.46
2020-01-05,Blue,19630.4
2020-01-05,Green,29608.0
2020-01-05,Orange,46149.87
2020-01-05,Red,54027.33
2020-01-06,Blue,44836.2
2020-01-06,Green,66699.21
2020-01-06,Orange,146314.3
2020-01-06,Red,180855.49
2020-01-07,Blue,46118.8
2020-01-07,Green,69710.32
2020-01-07,Orange,152317.28
2020-01-07,Red,186845.0
2020-01-08,Blue,46919.9
2020-01-08,Green,72353.45
2020-01-08,Orange,154171.68
2020-01-08,Red,186088.47
2020-01-09,Blue,46295.2
2020-01-09,Green,72846.41
2020-01-09,Orange,153434.48
2020-01-09,Red,183187.91
2020-01-10,Blue,46981.6
2020-01-10,Green,71396.8
2020-01-10,Orange,148698.46
2020-01-10,Red,178885.04
2020-01-11,Blue,30231.7
2020-01-11,Green,48890.85
2020-01-11,Orange,76776.68
2020-01-11,Red,73853.97
2020-01-12,Blue,22460.0
2020-01-12,Green,33013.84
2020-01-12,Orange,51435.54
2020-01-12,Red,52802.22
2020-01-13,Blue,46887.5
2020-01-13,Green,70741.15
2020-01-13,Orange,152965.32
2020-01-13,Red,184740.23
2020-01-14,Blue,48126.7
2020-01-14,Green,74475.11
2020-01-14,Orange,156024.73
2020-01-14,Red,192727.76
2020-01-15,Blue,49230.7
2020-01-15,Green,76100.39
2020-01-15,Orange,161441.11
2020-01-15,Red,192740.6
2020-01-16,Blue,47970.3
2020-01-16,Green,75758.28
2020-01-16,Orange,159682.04
2020-01-16,Red,192945.58
2020-01-17,Blue,44126.8
2020-01-17,Green,71244.5
2020-01-17,Orange,136654.05
2020-01-17,Red,171542.05
2020-01-18,Blue,23838.8
2020-01-18,Green,46626.37
2020-01-18,Orange,11808.51
2020-01-18,Red,68888.42
2020-01-19,Blue,19436.7
2020-01-19,Green,33811.97
2020-01-19,Orange,3784.5099999999998
2020-01-19,Red,57537.32
2020-01-20,Blue,25731.9
2020-01-20,Green,45750.8
2020-01-20,Orange,72871.16
2020-01-20,Red,86317.44
2020-01-21,Blue,46610.3
2020-01-21,Green,76959.55
2020-01-21,Orange,159292.41
2020-01-21,Red,189180.54
2020-01-22,Blue,46927.0
2020-01-22,Green,75711.63
2020-01-22,Orange,161686.66
2020-01-22,Red,189639.81
2020-01-23,Blue,48620.3
2020-01-23,Green,75432.06
2020-01-23,Orange,158332.96
2020-01-23,Red,191021.78
2020-01-24,Blue,47387.2
2020-01-24,Green,73659.17
2020-01-24,Orange,143126.46
2020-01-24,Red,179020.97
2020-01-25,Blue,24476.9
2020-01-25,Green,38317.98
2020-01-25,Orange,6430.26
2020-01-25,Red,59458.159999999996
2020-01-26,Blue,20866.5
2020-01-26,Green,30089.7
2020-01-26,Orange,5017.88
2020-01-26,Red,47720.22
2020-01-27,Blue,47240.0
2020-01-27,Green,71161.48
2020-01-27,Orange,152895.83
2020-01-27,Red,185575.19
2020-01-28,Blue,48155.4
2020-01-28,Green,74593.49
2020-01-28,Orange,157726.74
2020-01-28,Red,195844.77
2020-01-29,Blue,47821.9
2020-01-29,Green,75376.23
2020-01-29,Orange,157190.96
2020-01-29,Red,195078.31
2020-01-30,Blue,48740.5
2020-01-30,Green,75510.12
2020-01-30,Orange,160466.67
2020-01-30,Red,193699.31
2020-01-31,Blue,47457.0
2020-01-31,Green,75947.13
2020-01-31,Orange,151759.09
2020-01-31,Red,189084.68
2020-02-01,Blue,27206.9
2020-02-01,Green,49382.37
2020-02-01,Orange,65940.69
2020-02-01,Red,76778.74
2020-02-02,Blue,20112.4
2020-02-02,Green,32741.53
2020-02-02,Orange,44281.07
2020-02-02,Red,56682.1
2020-02-03,Blue,47383.5
2020-02-03,Green,71757.99
2020-02-03,Orange,154552.55
2020-02-03,Red,185744.36
2020-02-04,Blue,48621.7
2020-02-04,Green,74568.89
2020-02-04,Orange,160826.49
2020-02-04,Red,194177.82
2020-02-05,Blue,48658.3
2020-02-05,Green,75538.56
2020-02-05,Orange,161805.57
2020-02-05,Red,195658.87
2020-02-06,Blue,46277.6
2020-02-06,Green,71416.79
2020-02-06,Orange,152094.06
2020-02-06,Red,186948.05
