firstDayOfWeek,route_short,station_name,gated_entries
2019-12-30,Blue,Airport,26602.0
2019-12-30,Blue,Aquarium,15007.0
2019-12-30,Blue,Beachmont,9782.0
2019-12-30,Blue,Bowdoin,5765.0
2019-12-30,Blue,Government Center,1663.1
2019-12-30,Blue,Maverick,35505.0
2019-12-30,Blue,Orient Heights,12903.0
2019-12-30,Blue,Revere Beach,9546.0
2019-12-30,Blue,State Street,3344.5
2019-12-30,Blue,Suffolk Downs,2369.0
2019-12-30,Blue,Wonderland,19804.0
2019-12-30,Blue,Wood Island,6367.0
2019-12-30,Green,Arlington,17095.0
2019-12-30,Green,Boylston,16380.0
2019-12-30,Green,Copley,36364.0
2019-12-30,Green,Government Center,14967.9
2019-12-30,Green,Haymarket,16061.22
2019-12-30,Green,Hynes Convention Center,20611.0
2019-12-30,Green,Kenmore,17045.0
2019-12-30,Green,Lechmere,15965.0
2019-12-30,Green,North Station,16522.3
2019-12-30,Green,Park Street,25416.18
2019-12-30,Green,Prudential,11927.0
2019-12-30,Green,Riverside,3990.0
2019-12-30,Green,Science Park,3396.0
2019-12-30,Green,Symphony,4842.0
2019-12-30,Orange,Assembly,13257.0
2019-12-30,Orange,Back Bay,41307.0
2019-12-30,Orange,Chinatown,18873.0
2019-12-30,Orange,Community College,7080.0
2019-12-30,Orange,Downtown Crossing,32290.51
2019-12-30,Orange,Forest Hills,32560.0
2019-12-30,Orange,Green Street,7378.0
2019-12-30,Orange,Haymarket,16716.78
2019-12-30,Orange,Jackson Square,14156.0
2019-12-30,Orange,Malden Center,30025.0
2019-12-30,Orange,Massachusetts Avenue,14699.0
2019-12-30,Orange,North Station,32072.7
2019-12-30,Orange,Oak Grove,16558.0
2019-12-30,Orange,Roxbury Crossing,9505.0
2019-12-30,Orange,Ruggles,18972.0
2019-12-30,Orange,State Street,30100.5
2019-12-30,Orange,Stony Brook,9021.0
2019-12-30,Orange,Sullivan Square,23508.0
2019-12-30,Orange,Tufts Medical Center,15835.0
2019-12-30,Orange,Wellington,20523.0
2019-12-30,Red,Alewife,28223.0
2019-12-30,Red,Andrew,15516.0
2019-12-30,Red,Ashmont,22270.0
2019-12-30,Red,Braintree,11938.0
2019-12-30,Red,Broadway,15887.0
2019-12-30,Red,Central,42479.0
2019-12-30,Red,Charles/MGH,24980.0
2019-12-30,Red,Davis,28746.0
2019-12-30,Red,Downtown Crossing,33608.49
2019-12-30,Red,Fields Corner,13485.0
2019-12-30,Red,Harvard,46594.0
2019-12-30,Red,JFK/UMass,13943.0
2019-12-30,Red,Kendall/MIT,33742.0
2019-12-30,Red,North Quincy,15227.0
2019-12-30,Red,Park Street,18404.82
2019-12-30,Red,Porter,21920.0
2019-12-30,Red,Quincy Adams,9210.0
2019-12-30,Red,Quincy Center,20378.0
2019-12-30,Red,Savin Hill,6012.0
2019-12-30,Red,Shawmut,5006.0
2019-12-30,Red,South Station,42252.7
2019-12-30,Red,Wollaston,9800.0
2020-01-06,Blue,Airport,44386.0
2020-01-06,Blue,Aquarium,27431.0
2020-01-06,Blue,Beachmont,19006.0
2020-01-06,Blue,Bowdoin,12289.0
2020-01-06,Blue,Government Center,3920.1
2020-01-06,Blue,Maverick,68234.0
2020-01-06,Blue,Orient Heights,26113.0
2020-01-06,Blue,Revere Beach,17952.0
2020-01-06,Blue,State Street,7706.3
2020-01-06,Blue,Suffolk Downs,4476.0
