firstDayOfWeek,gated_entries
2019-12-30,1253299.7
2020-01-06,2644420.8
2020-01-13,2571857.5
2020-01-20,2325657.7
2020-01-27,2724450.6
2020-02-03,2562056.8
2020-02-10,2598942.4
2020-02-17,2404991.2
2020-02-24,2732924.5
2020-03-02,2618532.7
2020-03-09,1991674.9
2020-03-16,608039.8
2020-03-23,323051.0
2020-03-30,264056.4
2020-04-06,232931.6
2020-04-13,223100.3
2020-04-20,226108.7
2020-04-27,240561.4
2020-05-04,260250.6
2020-05-11,272652.9
2020-05-18,253832.6
2020-05-25,268585.2
2020-06-01,360343.9
2020-06-08,419522.3
2020-06-15,465991.3
2020-06-22,496465.7
2020-06-29,503007.2
2020-07-06,570458.1
2020-07-13,586025.1
2020-07-20,612647.3
2020-07-27,608952.7
2020-08-03,624457.6
2020-08-10,625997.9
2020-08-17,668407.6
2020-08-24,689098.9
2020-08-31,754102.6
2020-09-07,727731.5
2020-09-14,781356.6
2020-09-21,786164.5
2020-09-28,781440.3
2020-10-05,806466.3
2020-10-12,741905.5
2020-10-19,787964.1
2020-10-26,732756.7
2020-11-02,754281.5
2020-11-09,729324.1
2020-11-16,714487.0
2020-11-23,572247.9
2020-11-30,656540.9
2020-12-07,646193.5
2020-12-14,607339.2
2020-12-21,532846.6
2020-12-28,476848.8
2021-01-04,620849.6
2021-01-11,638619.8
2021-01-18,620319.9
2021-01-25,626425.9
2021-02-01,642342.4
2021-02-08,692303.2
2021-02-15,647682.6
2021-02-22,708527.3
2021-03-01,716856.1
2021-03-08,759511.6
2021-03-15,736149.1
2021-03-22,752906.9
2021-03-29,780471.6
2021-04-05,823245.0
2021-04-12,815354.9
2021-04-19,848955.8
2021-04-26,868412.4
2021-05-03,902271.9
2021-05-10,944171.1
2021-05-17,968183.1
2021-05-24,966976.8
2021-05-31,954470.1
2021-06-07,1104522.3
2021-06-14,1071662.9
2021-06-21,1112408.4
2021-06-28,1001157.9
2021-07-05,1057035.6
2021-07-12,1140653.3
2021-07-19,1232781.8
2021-07-26,1232032.4
2021-08-02,1230580.1
2021-08-09,1227195.0
2021-08-16,1142561.0
2021-08-23,1255476.6
2021-08-30,1310804.8
2021-09-06,1355342.0
2021-09-13,1466984.9
2021-09-20,1519215.0
2021-09-27,1468880.9
2021-10-04,1555712.8
2021-10-11,1491767.5
2021-10-18,1593946.8
2021-10-25,1404436.2
2021-11-01,1499469.8
2021-11-08,1462809.4
2021-11-15,1464979.2
2021-11-22,1096736.1
2021-11-29,1421850.5
2021-12-06,1383729.0
2021-12-13,1357275.1
2021-12-20,928774.9
2021-12-27,842841.0
2022-01-03,884171.3
2022-01-10,962755.8
2022-01-17,1032461.4
2022-01-24,1057491.4
2022-01-31,1209162.5
2022-02-07,1364156.6
2022-02-14,1330929.8
2022-02-21,1169888.7
2022-02-28,1406594.6
2022-03-07,1379281.5
2022-03-14,1478058.1
2022-03-21,1474444.0
2022-03-28,1354533.6
2022-04-04,1455679.3
2022-04-11,1600955.0
2022-04-18,1526755.9
2022-04-25,1352436.2
2022-05-02,1379728.2
2022-05-09,1370658.6
2022-05-16,1492649.3
2022-05-23,1624234.3
2022-05-30,1408087.3
2022-06-06,1573390.8
2022-06-13,1663961.1
2022-06-20,1450993.0
2022-06-27,1468110.8
2022-07-04,1427822.6
2022-07-11,1550340.9
2022-07-18,1478991.8
2022-07-25,1567152.3
2022-08-01,1463657.4
2022-08-08,1524663.9
2022-08-15,1375625.5
2022-08-22,1088028.7
2022-08-29,1131456.9
2022-09-05,1142549.2
2022-09-12,1291531.3
2022-09-19,1578787.6
2022-09-26,1606492.5
2022-10-03,1670675.7
2022-10-10,1582767.6
2022-10-17,1701855.4
2022-10-24,1654293.4
2022-10-31,1667657.8
2022-11-07,1612234.7
2022-11-14,1611892.8
2022-11-21,1194426.4
2022-11-28,1553122.4
2022-12-05,1510517.7
2022-12-12,1495206.6
2022-12-19,1132521.7
2022-12-26,1022032.5
2023-01-02,1180824.4
2023-01-09,1405218.3
2023-01-16,1373779.8
2023-01-23,1488969.3
2023-01-30,1343159.2
2023-02-06,1516943.0
2023-02-13,1515867.8
2023-02-20,1276016.8
2023-02-27,1375076.6
2023-03-06,1431212.8
2023-03-13,1427912.7
2023-03-20,1464108.4
2023-03-27,1467522.9
2023-04-03,1548506.5
2023-04-10,1615435.8
2023-04-17,1463951.7
2023-04-24,1448832.0
