service_date,route_short,station_name,gated_entries
2020-01-01,Blue,Airport,3883.0
2020-01-01,Blue,Aquarium,2015.0
2020-01-01,Blue,Beachmont,1089.0
2020-01-01,Blue,Bowdoin,418.0
2020-01-01,Blue,Government Center,182.6
2020-01-01,Blue,Maverick,4124.0
2020-01-01,Blue,Orient Heights,1275.0
2020-01-01,Blue,Revere Beach,1125.0
2020-01-01,Blue,State Street,253.2
2020-01-01,Blue,Suffolk Downs,284.0
2020-01-01,Blue,Wonderland,2097.0
2020-01-01,Blue,Wood Island,749.0
2020-01-01,Green,Arlington,1592.0
2020-01-01,Green,Boylston,2445.0
2020-01-01,Green,Copley,4685.0
2020-01-01,Green,Government Center,1643.4
2020-01-01,Green,Haymarket,1752.73
2020-01-01,Green,Hynes Convention Center,2650.0
2020-01-01,Green,Kenmore,2159.0
2020-01-01,Green,Lechmere,1650.0
2020-01-01,Green,North Station,1212.1
2020-01-01,Green,Park Street,3024.7
2020-01-01,Green,Prudential,1989.0
2020-01-01,Green,Riverside,399.0
2020-01-01,Green,Science Park,473.0
2020-01-01,Green,Symphony,453.0
2020-01-01,Orange,Assembly,1500.0
2020-01-01,Orange,Back Bay,3662.0
2020-01-01,Orange,Chinatown,2822.0
2020-01-01,Orange,Community College,684.0
2020-01-01,Orange,Downtown Crossing,2947.84
2020-01-01,Orange,Forest Hills,3201.0
2020-01-01,Orange,Green Street,666.0
2020-01-01,Orange,Haymarket,1824.27
2020-01-01,Orange,Jackson Square,1601.0
2020-01-01,Orange,Malden Center,3167.0
2020-01-01,Orange,Massachusetts Avenue,1500.0
2020-01-01,Orange,North Station,2352.9
2020-01-01,Orange,Oak Grove,1250.0
2020-01-01,Orange,Roxbury Crossing,1037.0
2020-01-01,Orange,Ruggles,1732.0
2020-01-01,Orange,State Street,2278.8
2020-01-01,Orange,Stony Brook,878.0
2020-01-01,Orange,Sullivan Square,2372.0
2020-01-01,Orange,Tufts Medical Center,1652.0
2020-01-01,Orange,Wellington,1881.0
2020-01-01,Red,Alewife,2449.0
2020-01-01,Red,Andrew,1668.0
2020-01-01,Red,Ashmont,2307.0
2020-01-01,Red,Braintree,1028.0
2020-01-01,Red,Broadway,1425.0
2020-01-01,Red,Central,4112.0
2020-01-01,Red,Charles/MGH,2128.0
2020-01-01,Red,Davis,2806.0
2020-01-01,Red,Downtown Crossing,3068.16
2020-01-01,Red,Fields Corner,1630.0
2020-01-01,Red,Harvard,5195.0
