firstDayOfWeek,route_short,station_name,gated_entries
2019-12-30,Blue,Airport,125.48113207547169
2019-12-30,Blue,Aquarium,70.45539906103286
2019-12-30,Blue,Beachmont,49.15577889447236
2019-12-30,Blue,Bowdoin,27.985436893203882
2019-12-30,Blue,Government Center,7.957416267942583
2019-12-30,Blue,Maverick,161.38636363636363
2019-12-30,Blue,Orient Heights,63.5615763546798
2019-12-30,Blue,Revere Beach,47.492537313432834
2019-12-30,Blue,State Street,15.775943396226415
2019-12-30,Blue,Suffolk Downs,12.468421052631578
2019-12-30,Blue,Wonderland,98.5273631840796
2019-12-30,Blue,Wood Island,30.464114832535884
2019-12-30,Green,Arlington,82.1875
2019-12-30,Green,Boylston,79.1304347826087
2019-12-30,Green,Copley,174.82692307692307
2019-12-30,Green,Government Center,71.61674641148325
2019-12-30,Green,Haymarket,76.482
2019-12-30,Green,Hynes Convention Center,99.57004830917874
2019-12-30,Green,Kenmore,81.55502392344498
2019-12-30,Green,Lechmere,79.42786069651741
2019-12-30,Green,North Station,76.49212962962963
2019-12-30,Green,Park Street,114.4872972972973
2019-12-30,Green,Prudential,57.898058252427184
2019-12-30,Green,Riverside,20.89005235602094
2019-12-30,Green,Science Park,18.356756756756756
2019-12-30,Green,Symphony,23.97029702970297
2019-12-30,Orange,Assembly,64.66829268292683
2019-12-30,Orange,Back Bay,197.64114832535884
2019-12-30,Orange,Chinatown,89.87142857142857
2019-12-30,Orange,Community College,34.53658536585366
2019-12-30,Orange,Downtown Crossing,150.89023364485982
2019-12-30,Orange,Forest Hills,153.58490566037736
2019-12-30,Orange,Green Street,37.26262626262626
2019-12-30,Orange,Haymarket,79.60371428571428
2019-12-30,Orange,Jackson Square,68.0576923076923
2019-12-30,Orange,Malden Center,146.46341463414635
2019-12-30,Orange,Massachusetts Avenue,72.05392156862744
2019-12-30,Orange,North Station,148.48472222222222
2019-12-30,Orange,Oak Grove,81.56650246305419
2019-12-30,Orange,Roxbury Crossing,46.36585365853659
2019-12-30,Orange,Ruggles,90.77511961722487
2019-12-30,Orange,State Street,141.98349056603774
